"ROI WIDTH","ROI HEIGHT","Padding","HOG","FIXEDWINDOW","MULTISCALE","FPS"
112,112,2.000000,1,1,0,105.750077
79,79,2.000000,1,1,0,73.425496
113,113,2.000000,1,1,0,107.964643
115,115,2.000000,1,1,0,100.858602
65,65,2.000000,1,1,0,100.205898
256,256,2.000000,1,1,0,84.615146
121,121,2.000000,1,1,0,92.954271
79,79,2.000000,1,1,0,99.321808
284,284,2.000000,1,1,0,84.012223
380,380,2.000000,1,1,0,83.294868
160,160,2.000000,1,1,0,109.318523
92,92,1.300000,1,1,0,103.360513
109,109,2.500000,1,0,1,77.233610
100,100,1.500000,0,0,0,118.408253
115,115,2.500000,0,0,0,24.506320
102,102,1.300000,1,1,0,108.225624
74,74,1.000000,0,0,1,271.828528
113,113,1.000000,0,0,0,175.880963
106,106,3.000000,0,0,0,12.160605
104,104,2.500000,1,1,1,74.613096
134,134,3.000000,0,0,1,259.555656
114,114,3.000000,0,0,0,5.140941
101,101,2.500000,1,0,0,12.221155
107,107,2.500000,0,1,0,338.636105
308,308,2.500000,0,1,0,224.883360
257,257,2.500000,0,0,1,174.322306
162,162,2.500000,1,1,1,71.130843
114,114,2.500000,0,1,1,294.749209
121,121,1.200000,1,0,0,47.885708
122,122,1.600000,1,0,0,33.230587
115,115,2.000000,1,0,0,22.450670
111,111,2.500000,1,0,0,12.245201
120,120,3.000000,1,0,0,5.599595
118,118,3.000000,1,1,0,127.837860
106,106,3.000000,0,1,0,464.041549
112,112,5.000000,0,1,0,409.194770
125,125,8.000000,0,1,0,302.596053
109,109,8.000000,0,0,1,155.741215
91,91,1.100000,0,1,1,185.685639
105,105,1.500000,0,1,0,315.708785
112,112,2.500000,0,1,0,262.287041
116,116,3.500000,0,1,0,379.418464
103,103,4.000000,0,1,0,531.782677
103,103,1.100000,0,1,0,529.364347
119,119,2.500000,0,1,0,312.015374
121,121,2.800000,0,1,1,257.356506
98,98,1.300000,0,0,0,106.281968
92,92,1.900000,0,0,0,55.733056
265,265,3.000000,0,1,1,115.380825
301,301,3.000000,1,1,1,57.880588
132,132,2.500000,1,0,1,83.213426
131,131,3.500000,1,0,1,76.307110
123,123,3.500000,1,0,1,66.008219
126,126,1.500000,1,1,0,112.503571
133,133,2.500000,1,1,0,119.355884
129,129,3.500000,1,1,0,128.346034
107,107,3.500000,1,1,0,137.744189
306,306,3.000000,1,1,0,116.923621
129,129,2.000000,0,0,1,231.580193
147,147,3.000000,0,0,1,164.402105
166,166,1.500000,0,1,1,226.929334
148,148,2.500000,0,1,1,222.708704
178,178,3.000000,0,1,1,223.435092
138,138,1.500000,0,0,0,19.964078
187,187,1.500000,1,0,0,14.135647
112,112,2.000000,0,1,0,518.261271
343,343,2.000000,0,1,0,272.660719
434,434,2.000000,0,1,0,224.606063
159,159,2.000000,0,1,1,151.887247
165,165,2.000000,1,1,1,74.504470
20,20,2.500000,0,1,0,973.317970
200,200,2.500000,0,0,0,11.629146
